Assembly,Material,OpenOrders,NewOrders,TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
19.784523,155568430,9,3,4.68,10.48,158,15,3,2366
19.784523,155568430,9,3,4.68,10.48,145,15,3,2118
19.784523,155568430,9,3,4.68,10.48,310,30,6,3644
23.78724,187656220,12,3,4.81,11.27,149,15,3,1502
23.78724,187656220,12,3,4.81,11.27,195,20,4,2238
27.200695,204444420,13,2,5.24,12.19,147,15,3,2108
31.649242,206679900,10,0,3.98,10.36,253,25,5,3121
31.649242,206679900,10,0,3.98,10.36,151,15,3,2057
30.089062,199409700,10,2,1.52,2.07,151,15,3,1595
29.664423,193924660,9,1,2.98,4.18,161,15,3,1828
29.664423,193924660,9,1,2.98,4.18,255,25,5,3391
29.458185,204185980,10,2,1.92,4.54,149,15,3,2106
32.12389,195516640,10,1,3.55,9.41,158,15,3,2161
32.12389,195516640,10,1,3.55,9.41,153,15,3,1703
32.12389,195516640,10,1,3.55,9.41,153,15,3,1683
32.12389,195516640,10,1,3.55,9.41,152,15,3,1878
32.12389,195516640,10,1,3.55,9.41,197,20,4,2106
32.12389,195516640,10,1,3.55,9.41,200,20,4,2079
32.18659,264581980,15,6,4.24,7.24,199,20,4,2293
32.18659,264581980,15,6,4.24,7.24,253,25,5,3055
32.18659,264581980,15,6,4.24,7.24,155,15,3,1878
38.116783,320989540,14,0,5.51,10.82,417,40,8,5000
38.116783,320989540,14,0,5.51,10.82,161,15,3,2330
43.114914,318206080,11,2,5.28,10.8,199,20,4,2495
42.54094,323888480,10,1,4.55,9.62,195,20,4,2799
42.54094,323888480,10,1,4.55,9.62,156,15,3,2130
42.54365,342515800,7,2,2.71,7.95,197,20,4,2095
42.54365,342515800,7,2,2.71,7.95,404,40,8,5063
43.751987,383070000,9,2,4.45,11.38,155,15,3,2027
43.751987,383070000,9,2,4.45,11.38,158,15,3,1856
46.596195,395854100,11,2,4.3,10.05,149,15,3,1613
